sku,barcode,product_name,brand,category_name,unit_price,cost_price,reorder_level,preferred_supplier,supplier_lead_time_days,safety_stock,minimum_order_quantity,units_per_package
SKU-DRY-009,890100000025,Instant Noodles Chicken 5 Pack,NoodleTime,Pantry,3.2,1.5,16,Global Grocers,7,8,12,12
SKU-DRY-010,890100000026,Cooking Oil Sunflower 1L,GoldenDrop,Pantry,4.6,2.3,8,Global Grocers,7,4,6,6
SKU-DAI-001,890100000027,Whole Milk 1L,MeadowFresh,Dairy,2.1,1.22,12,FreshFields Wholesale,2,6,12,12
SKU-DAI-002,890100000028,Low Fat Milk 1L,MeadowFresh,Dairy,2.1,1.22,12,FreshFields Wholesale,2,6,12,12
SKU-DAI-003,890100000029,Plain Yogurt 500g,CreamVale,Dairy,3.25,1.72,8,FreshFields Wholesale,2,4,6,6
SKU-DAI-004,890100000030,Greek Yogurt 150g,CreamVale,Dairy,1.45,0.72,12,FreshFields Wholesale,2,6,12,12
SKU-DAI-005,890100000031,Cheddar Cheese 200g,CheeseCraft,Dairy,4.9,2.65,8,FreshFields Wholesale,3,4,6,6
SKU-DAI-006,890100000032,Butter Salted 250g,MeadowFresh,Dairy,4.25,2.2,8,FreshFields Wholesale,3,4,6,6
SKU-BRD-001,890100000033,White Bread Loaf 600g,BakeHouse,Bakery,2.8,1.42,10,DailyBake Bakery,1,5,10,10
SKU-BRD-002,890100000034,Whole Wheat Bread Loaf 600g,BakeHouse,Bakery,3.1,1.58,10,DailyBake Bakery,1,5,10,10
SKU-BRD-003,890100000035,Croissants 4 Pack,BakeHouse,Bakery,4.2,2.18,6,DailyBake Bakery,1,3,6,6
SKU-BRD-004,890100000036,Burger Buns 6 Pack,BakeHouse,Bakery,3.4,1.7,8,DailyBake Bakery,1,4,8,8
SKU-PRO-001,890100000037,Red Apples 1kg,Orchard Gold,Produce,3.75,1.95,8,FreshFields Wholesale,2,4,6,6
SKU-PRO-002,890100000038,Bananas 1kg,GreenValley,Produce,2.25,1.05,10,FreshFields Wholesale,2,5,6,6
SKU-PRO-003,890100000039,Oranges 1kg,Orchard Gold,Produce,3.4,1.7,8,FreshFields Wholesale,2,4,6,6
SKU-PRO-004,890100000040,Potatoes 2kg,GreenValley,Produce,4.1,2.05,8,FreshFields Wholesale,2,4,6,6
SKU-PRO-005,890100000041,Onions 1kg,GreenValley,Produce,2.7,1.25,8,FreshFields Wholesale,2,4,6,6
SKU-PRO-006,890100000042,Tomatoes 500g,GreenValley,Produce,2.9,1.45,8,FreshFields Wholesale,2,4,6,6
SKU-FRZ-001,890100000043,Frozen Peas 500g,FrostGarden,Frozen Foods,3.6,1.85,8,ColdChain Suppliers,5,4,6,6
SKU-FRZ-002,890100000044,Frozen Mixed Vegetables 1kg,FrostGarden,Frozen Foods,5.25,2.72,6,ColdChain Suppliers,5,3,6,6
SKU-FRZ-003,890100000045,Frozen French Fries 1kg,FrostGarden,Frozen Foods,4.8,2.4,8,ColdChain Suppliers,5,4,6,6
SKU-FRZ-004,890100000046,Vanilla Ice Cream 1L,IceCrown,Frozen Foods,6.5,3.35,6,ColdChain Suppliers,5,3,6,6
SKU-HOU-001,890100000047,Dishwashing Liquid 750ml,CleanNest,Household,3.85,1.9,8,HomeCare Distributors,6,4,6,6
SKU-HOU-002,890100000048,Laundry Detergent 2L,CleanNest,Household,8.9,4.55,6,HomeCare Distributors,6,3,4,4
SKU-HOU-003,890100000049,Paper Towels 2 Roll,SoftNest,Household,3.75,1.82,10,HomeCare Distributors,6,5,12,12
SKU-HOU-004,890100000050,Toilet Tissue 4 Roll,SoftNest,Household,5.9,2.95,10,HomeCare Distributors,6,5,12,12
SKU-HOU-005,890100000051,Garbage Bags Medium 20 Pack,CleanNest,Household,4.4,2.1,8,HomeCare Distributors,6,4,6,6
SKU-PER-001,890100000052,Bar Soap Aloe 100g,FreshTouch,Personal Care,1.6,0.68,12,PersonalCare Wholesale,7,6,24,24
SKU-PER-002,890100000053,Shampoo Daily Care 400ml,FreshTouch,Personal Care,5.75,2.8,8,PersonalCare Wholesale,7,4,6,6
SKU-PER-003,890100000054,Toothpaste Mint 100ml,SmileBright,Personal Care,3.2,1.42,12,PersonalCare Wholesale,7,6,12,12
SKU-PER-004,890100000055,Toothbrush Medium,SmileBright,Personal Care,2.5,1.05,12,PersonalCare Wholesale,7,6,12,12
SKU-PER-005,890100000056,Deodorant Roll On 50ml,FreshTouch,Personal Care,4.1,1.95,8,PersonalCare Wholesale,7,4,6,6
SKU-BAB-001,890100000057,Baby Wipes 64 Count,LittleSteps,Baby Care,4.9,2.45,8,FamilyGoods Supply,7,4,6,6
SKU-BAB-002,890100000058,Baby Diapers Size 4 20 Pack,LittleSteps,Baby Care,11.5,6.1,6,FamilyGoods Supply,7,3,4,4
SKU-PET-001,890100000059,Dog Food Chicken 2kg,PawPantry,Pet Care,9.75,5.2,6,PetSupply Wholesale,7,3,4,4
SKU-PET-002,890100000060,Cat Food Tuna 400g,PawPantry,Pet Care,2.9,1.42,10,PetSupply Wholesale,7,5,12,12
